2025-07-11 21:57:30.012 INFO: Epoch 75: head: Default, loss=0.8391, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.32, RMSE_ALPHA_DERIV=    2.39
2025-07-11 21:57:59.686 INFO: Epoch 76: head: Default, loss=0.8218, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.19, RMSE_ALPHA_DERIV=    2.49
2025-07-11 21:58:29.361 INFO: Epoch 77: head: Default, loss=0.7274, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.10, RMSE_ALPHA_DERIV=    2.39
2025-07-11 21:58:59.053 INFO: Epoch 78: head: Default, loss=0.7187, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.18, RMSE_ALPHA_DERIV=    2.33
2025-07-11 21:59:28.776 INFO: Epoch 79: head: Default, loss=0.7086, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.12, RMSE_ALPHA_DERIV=    2.35
2025-07-11 21:59:58.501 INFO: Epoch 80: head: Default, loss=0.7865, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.24, RMSE_ALPHA_DERIV=    2.39
2025-07-11 22:00:28.180 INFO: Epoch 81: head: Default, loss=0.6807, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.13, RMSE_ALPHA_DERIV=    2.29
2025-07-11 22:00:57.890 INFO: Epoch 82: head: Default, loss=0.6343, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.10, RMSE_ALPHA_DERIV=    2.23
2025-07-11 22:01:27.597 INFO: Epoch 83: head: Default, loss=0.8951, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.30, RMSE_ALPHA_DERIV=    2.51
2025-07-11 22:01:57.267 INFO: Epoch 84: head: Default, loss=0.6678, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.17, RMSE_ALPHA_DERIV=    2.25
2025-07-11 22:02:26.943 INFO: Epoch 85: head: Default, loss=0.9182, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.32, RMSE_ALPHA_DERIV=    2.51
2025-07-11 22:02:56.624 INFO: Epoch 86: head: Default, loss=0.6739, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.13, RMSE_ALPHA_DERIV=    2.28
2025-07-11 22:03:26.287 INFO: Epoch 87: head: Default, loss=0.6470, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.09, RMSE_ALPHA_DERIV=    2.26
2025-07-11 22:03:55.963 INFO: Epoch 88: head: Default, loss=0.6653, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.16, RMSE_ALPHA_DERIV=    2.25
2025-07-11 22:04:25.628 INFO: Epoch 89: head: Default, loss=0.7388, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.16, RMSE_ALPHA_DERIV=    2.38
2025-07-11 22:04:55.279 INFO: Epoch 90: head: Default, loss=0.8312, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.16, RMSE_ALPHA_DERIV=    2.53
